ndata,sigma,theta_median,theta_iqrs,quartiles1,quartiles3,theta_coverage
10,20.0,153.28439624241943,5.509412200624439,151.26619711607972,156.77560931670416,false
10,20.0,150.9368013703273,5.980684972255602,148.81103669294416,154.79172166519976,true
10,20.0,148.7921256777762,5.529708489830938,146.7575227017892,152.28723119162015,true
10,20.0,152.08702713458814,6.249952651869421,149.9122998934821,156.16225254535152,true
10,20.0,151.54875130037328,5.586721666902861,149.46066782179483,155.0473894886977,true
10,20.0,153.05934564055127,5.608773141835769,150.9921299335477,156.60090307538346,false
10,20.0,152.83007043488698,5.205014667184457,150.88420927041915,156.0892239376036,false
10,20.0,143.99877047288652,5.340289750725191,142.0401846999178,147.380474450643,false
10,20.0,135.95901691428423,4.756442690747775,134.25062288632265,139.00706557707042,false
10,20.0,147.88050989655125,5.550293912871808,145.80943297886841,151.35972689174022,true
10,20.0,144.86378860891816,5.177643381054793,142.94988474826312,148.1275281293179,false
10,20.0,142.0382987670436,4.788712013309208,140.35913145137198,145.1478434646812,false
10,20.0,152.71177755825732,5.4533877642153925,150.66179901265264,156.11518677686803,false
10,20.0,151.91805632117251,5.802709253825526,149.86087521094805,155.66358446477358,true
10,20.0,152.90113993695644,5.742364444369059,150.660867547339,156.40323199170805,false
10,20.0,150.951659792957,5.941286946646386,148.73692585471525,154.67821280136164,true
10,20.0,153.5790851530467,5.581752486516905,151.44022406251656,157.02197654903347,false
10,20.0,148.5520814710987,5.43720708334007,146.6515584886639,152.08876557200398,true
10,20.0,151.44972097778543,5.77629251607658,149.2853869906914,155.06167950676797,true
10,20.0,143.23391549217115,4.973916621008385,141.4661613064654,146.4400779274738,false
10,20.0,153.4226768276361,5.650616779006754,151.26406793066369,156.91468470967044,false
10,20.0,152.47904052324003,6.0079764808969,150.36158747619925,156.36956395709615,false
10,20.0,147.14711437221746,5.695005785360337,145.17567336093927,150.8706791462996,true
10,20.0,151.69861624468524,5.497759977393201,149.60418300498415,155.10194298237735,true
10,20.0,150.37687560929658,5.7269901711785565,148.29840823909728,154.02539841027584,true
10,20.0,152.58202708237874,5.779197499681231,150.5707345036227,156.34993200330393,false
10,20.0,152.86259029113768,5.501239830385856,150.85507975012524,156.3563195805111,false
10,20.0,151.3303074162375,5.488323698855339,149.22860511885892,154.71692881771426,true
10,20.0,146.37768283964806,5.249697076648914,144.40466563903308,149.654362715682,false
10,20.0,150.05091283800712,6.027628332875963,147.79246746566318,153.82009579853914,true
10,20.0,153.11872415521458,5.277260613615283,151.11115853496472,156.38841914858,false
10,20.0,142.72192243119508,5.245745583850066,140.83860216469415,146.08434774854422,false
10,20.0,153.48127505674367,5.6582008125766095,151.37106233883682,157.02926315141343,false
